"name","firstReleaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Homeworld 3","1715572800000","101336","59.99","5454092","8.952600407012936","42","AA","Gearbox Publishing","Blackbird Interactive","1840080"
"Crime Scene Cleaner","1723593600000","309232","19.99","5082397","8.567752347169534","98","Indie","President Studio,PlayWay S.A.","President Studio","1040200"
"Senua’s Saga: Hellblade II","1716264000000","108108","49.99","4796864","5.133334606112784","88","AAA","Xbox Game Studios","Ninja Theory","2461850"
"Pixel Gun 3D: PC Edition","1712030400000","1685776","0","4775621","11.510063343147374","62","Indie","Cubic Games Studio","Cubic Games Studio","2524890"
"shapez 2","1723680000000","256118","24.99","4763491","18.42824352130187","99","Indie","tobspr Games,Gamera Games","tobspr Games","2162800"
"Backpack Battles","1709874000000","496193","12.99","4633606","44.03611524352701","90","Indie","PlayWithFurcifer,IndieArk","PlayWithFurcifer","2427700"
"Kebab Chefs! - Restaurant Simulator","1705640400000","308420","17.99","4499700","9.906911357767555","88","Indie","Biotech Gameworks","Biotech Gameworks","1001270"
"Outpost: Infinity Siege","1711425600000","234311","24.99","4472674","38.98418422283269","0","AA","Lightning Games","Team Ranger","1566690"
"Palia","1711339200000","776483","0","4434468","46.156985448328946","0","Indie","Singularity 6 Corporation","Singularity 6 Corporation","2707930"
"Little Kitty, Big City","1715227200000","214900","24.99","4405966","3.929858470246847","95","Indie","Double Dagger Studio","Double Dagger Studio","1177980"
"Norland","1721260800000","181072","29.99","4248758","17.356142016884974","79","AA","Hooded Horse","Long Jaunt","1857090"
"Kingdom Rush 5: Alliance TD","1721865600000","250864","19.99","4141992","8.954045542395487","86","Indie","Ironhide Game Studio","Ironhide Game Studio","2849080"
"The Hungry Lamb: Traveling in the Late Ming Dynasty","1713758400000","603809","9.99","3789183","5.426757820707547","97","Indie","零创游戏(ZerocreationGame),2P Games","零创游戏(ZerocreationGame)","2593370"
"Le Mans Ultimate","1708405200000","119909","32.99","3716155","26.071965956087556","77","Indie","Studio 397","Studio 397","2399420"
"Eiyuden Chronicle: Hundred Heroes","1713844800000","85079","49.99","3659759","25.57428144212046","79","AA","505 Games","Rabbit & Bear Studios","1658280"
"Men of War II","1715745600000","90344","44.99","3639476","22.094386456848135","64","Indie","Fulqrum Publishing","Best Way","1128860"
"Fields of Mistria","1722816000000","285156","13.99","3590399","16.58223827451694","98","Indie","NPC Studio","NPC Studio","2142790"
"EA SPORTS™ Madden NFL 25","1723680000000","56924","69.99","3585699","18.18385307572322","50","AAA","Electronic Arts","Tiburon","2582560"
"Apollo Justice: Ace Attorney Trilogy","1706072400000","91609","49.99","3554628","39.11514173217788","92","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2187220"
"Buckshot Roulette","1712203200000","1558908","2.99","3534193","2.8358044884517946","95","Indie","CRITICAL REFLEX","Mike Klubnika","2835570"
"F1® Manager 2024","1721692800000","113011","34.99","3477861","24.693833699982463","0","AA","Frontier Developments","Frontier Developments","2591280"
"Banishers: Ghosts of New Eden","1707714000000","80009","49.99","3432219","22.642737708877462","87","AA","Focus Entertainment","DON'T NOD","1493640"
"Five Nights at Freddy's: Into the Pit","1722988800000","184724","19.99","3323369","5.164634843484194","96","Indie","Mega Cat Studios","Mega Cat Studios","2638370"
"Rotwood","1713931200000","429682","10.99","3315134","8.383464530166473","73","AA","Klei Entertainment","Klei Entertainment","2015270"
"Tomb Raider I-III Remastered Starring Lara Croft","1707800400000","124872","29.99","3258663","26.190640238537323","87","Indie","Aspyr","Aspyr,Crystal Dynamics","2478970"
"Sky: Children of the Light","1712721600000","533078","0","3170109","31.61725209880534","84","Indie","thatgamecompany","thatgamecompany","2325290"
"Visions of Mana","1724889600000","58680","59.99","3168191","14.838053197824298","84","AA","Square Enix","Square Enix","2490990"
"SMITE 2","1724716800000","115208","29.99","3109579","11.284337861064936","57","AA","Hi-Rez Studios","Titan Forge Games","2437170"
"古龙风云录","1706763600000","158742","29.99","3079553","21.44352920068993","60","Indie","心火游戏","香港商河洛互動娛樂股份有限公司","2340650"
"ASKA","1718856000000","149434","24.99","3035729","31.590636855042554","79","Indie","Thunderful Publishing","Sand Sailor Studio","1898300"
"Summer Clover","1719374400000","191733","17.99","2993338","8.042536447257053","0","Indie","Mango Party,Mango Party News","Connection","2458860"
"CarX Street","1724889600000","162072","19.99","2915837","10.532325537135431","63","Indie","CarX Technologies, LLC","CarX Technologies, LLC","1114150"
"Drug Dealer Simulator 2","1718856000000","134529","24.99","2831170","25.38146729540229","73","Indie","Movie Games S.A.","Byterunners","1708850"
"Expeditions: A MudRunner Game","1709614800000","79175","39.99","2822410","18.301829975264116","55","AA","Focus Entertainment","Saber Interactive","2477340"
"Rabbit and Steel","1715227200000","217015","14.99","2821018","13.932374722920766","97","Indie","mino_dev","mino_dev","2132850"
"Lost Castle 2","1721779200000","217047","14.99","2726750","13.701804619432837","73","Indie","Hunter Studio","Hunter Studio","2445690"
"Mad Island","1716436800000","160654","19.99","2724274","20.248577376730182","94","Indie","EmadePlus","EmadePlus","2739590"
"Still Wakes the Deep","1718683200000","92096","34.99","2620851","3.225789388059883","90","Indie","Secret Mode","The Chinese Room","1622910"
