"x","y"
"1704067200000","0"
"1717136232477","0"
"1717222632477","17.99"
"1717736332232","17.99"
"1717822732232","19.99"
"1724894805540","19.99"
"1724981205540","15.99"
"1725240392970","15.99"
"1725326792970","19.99"
"1726358400000","19.99"
